,detection_id,arrival_time,pre_orderboard,orderboard,pickup,total_time
0,1083557,2022-03-22T07:02:07,,107.0,211.0,342
1,1083590,2022-03-22T07:14:18,,45.0,205.0,273
2,1083610,2022-03-22T07:16:59,,36.0,261.0,372
3,1083618,2022-03-22T07:18:15,,46.0,63.0,357
4,1083729,2022-03-22T07:41:59,,35.0,186.0,254
5,1083766,2022-03-22T07:55:55,,23.0,232.0,294
6,1083790,2022-03-22T08:13:24,,19.0,123.0,172
7,1083794,2022-03-22T08:14:00,,24.0,42.0,171
8,1083830,2022-03-22T08:17:33,3.0,53.0,615.0,700
9,1083816,2022-03-22T08:17:49,46.0,47.0,184.0,443
10,1083819,2022-03-22T08:20:46,,22.0,92.0,353
11,1083832,2022-03-22T08:25:54,,26.0,150.0,200
12,1083833,2022-03-22T08:28:14,,,87.0,91
13,1083844,2022-03-22T08:34:18,,33.0,16.0,84
14,1083860,2022-03-22T08:42:12,,50.0,61.0,138
15,1083879,2022-03-22T08:46:39,,32.0,365.0,421
16,1083882,2022-03-22T08:49:03,,14.0,32.0,308
17,1083886,2022-03-22T08:49:26,37.0,183.0,107.0,362
18,1083880,2022-03-22T08:49:26,,30.0,161.0,258
19,1083870,2022-03-22T08:49:26,,,85.0,88
20,1083914,2022-03-22T08:50:13,444.0,85.0,116.0,742
21,1083921,2022-03-22T08:54:39,272.0,158.0,77.0,555
22,1083901,2022-03-22T08:57:31,,2.0,132.0,186
23,1083932,2022-03-22T08:57:32,259.0,78.0,215.0,593
24,1083941,2022-03-22T08:59:57,204.0,74.0,150.0,600
25,1083956,2022-03-22T09:02:15,185.0,89.0,124.0,642
26,1083945,2022-03-22T09:02:28,145.0,43.0,60.0,507
27,1083961,2022-03-22T09:02:47,60.0,89.0,90.0,699
28,1083943,2022-03-22T09:04:09,43.0,41.0,269.0,385
29,1083976,2022-03-22T09:04:11,140.0,192.0,227.0,850
30,1083946,2022-03-22T09:05:01,35.0,21.0,34.0,364
31,1083958,2022-03-22T09:07:30,,26.0,146.0,358
32,1083968,2022-03-22T09:08:08,,108.0,188.0,509
33,1083978,2022-03-22T09:08:41,78.0,93.0,147.0,619
34,1083985,2022-03-22T09:08:53,215.0,59.0,145.0,715
35,1083990,2022-03-22T09:08:54,286.0,222.0,89.0,805
36,1083992,2022-03-22T09:15:39,142.0,122.0,103.0,503
37,1084002,2022-03-22T09:15:45,262.0,70.0,133.0,629
38,1083980,2022-03-22T09:16:54,,32.0,77.0,197
39,1084027,2022-03-22T09:18:16,194.0,114.0,452.0,930
40,1084035,2022-03-22T09:19:12,202.0,208.0,102.0,975
41,1083997,2022-03-22T09:19:29,,35.0,303.0,364
42,1084058,2022-03-22T09:20:25,300.0,35.0,93.0,1218
43,1084005,2022-03-22T09:20:48,134.0,55.0,118.0,402
44,1084068,2022-03-22T09:21:53,330.0,270.0,134.0,1267
45,1084052,2022-03-22T09:23:36,215.0,80.0,220.0,933
46,1084011,2022-03-22T09:24:40,,14.0,155.0,320
47,1084026,2022-03-22T09:28:32,63.0,28.0,180.0,298
48,1084074,2022-03-22T09:28:54,306.0,180.0,82.0,925
49,1084078,2022-03-22T09:30:42,199.0,199.0,57.0,873
50,1084110,2022-03-22T09:30:54,397.0,46.0,470.0,1330
51,1084116,2022-03-22T09:32:56,266.0,134.0,75.0,1286
52,1084121,2022-03-22T09:34:48,391.0,183.0,74.0,1250
53,1084138,2022-03-22T09:38:30,323.0,60.0,277.0,1302
54,1084101,2022-03-22T09:43:28,81.0,35.0,291.0,430
55,1084152,2022-03-22T09:43:41,254.0,297.0,180.0,1168
56,1084157,2022-03-22T09:48:48,298.0,294.0,79.0,940
57,1084108,2022-03-22T09:51:01,,21.0,59.0,109
58,1084163,2022-03-22T09:51:48,413.0,78.0,71.0,827
